uid,reg_date,device,gender,country,age
39486145,2017-11-26T00:00:00Z,iOS,M,USA,20
48325633,2017-11-20T00:00:00Z,iOS,M,USA,24
18035072,2017-09-26T00:00:00Z,and,M,BRA,23
67732177,2017-08-27T00:00:00Z,and,M,USA,17
23360771,2018-01-20T00:00:00Z,and,M,BRA,51
62526257,2017-03-17T00:00:00Z,iOS,M,USA,37
85426418,2018-02-26T00:00:00Z,and,F,TUR,19
59666846,2017-12-23T00:00:00Z,and,F,BRA,23
77010199,2018-02-04T00:00:00Z,and,F,CAN,30
67440775,2018-02-02T00:00:00Z,and,M,BRA,53
51271176,2018-01-14T00:00:00Z,and,F,USA,30
76661000,2017-10-18T00:00:00Z,iOS,M,DEU,31
45670233,2017-10-03T00:00:00Z,and,F,CAN,23
76906161,2017-11-08T00:00:00Z,and,F,TUR,26
65194975,2017-12-13T00:00:00Z,and,F,CAN,25
26829700,2016-08-22T00:00:00Z,and,M,USA,17
49518970,2015-06-05T00:00:00Z,and,M,USA,21
90279488,2018-02-14T00:00:00Z,and,F,CAN,26
98435331,2017-07-19T00:00:00Z,iOS,M,BRA,21
44131918,2015-08-25T00:00:00Z,iOS,F,USA,25
84379156,2017-04-03T00:00:00Z,and,F,DEU,25
69978208,2017-03-14T00:00:00Z,iOS,M,USA,16
21353457,2016-08-11T00:00:00Z,iOS,M,BRA,27
66807153,2016-05-08T00:00:00Z,iOS,M,USA,24
76040729,2016-03-30T00:00:00Z,iOS,F,USA,15
13017133,2017-07-10T00:00:00Z,iOS,F,CAN,15
93400428,2017-07-23T00:00:00Z,and,M,BRA,18
29834438,2017-12-01T00:00:00Z,iOS,F,TUR,29
56024697,2018-03-17T00:00:00Z,and,M,BRA,16
11300465,2016-01-19T00:00:00Z,iOS,M,FRA,21
26000101,2017-03-25T00:00:00Z,and,F,TUR,19
70069860,2017-12-19T00:00:00Z,and,F,BRA,17
41635199,2016-07-26T00:00:00Z,iOS,F,BRA,22
13052437,2017-01-24T00:00:00Z,and,M,TUR,15
76307974,2017-05-07T00:00:00Z,and,F,TUR,21
64522849,2015-09-10T00:00:00Z,and,M,BRA,25
73145820,2018-01-23T00:00:00Z,and,F,DEU,26
79004184,2018-02-16T00:00:00Z,iOS,F,DEU,21
30120100,2017-12-24T00:00:00Z,and,F,DEU,31
65930247,2018-02-21T00:00:00Z,iOS,F,USA,17
74650949,2017-03-29T00:00:00Z,iOS,F,BRA,27
85383645,2017-08-31T00:00:00Z,iOS,M,DEU,33
77818106,2017-07-19T00:00:00Z,iOS,M,USA,16
92922505,2018-02-16T00:00:00Z,and,M,TUR,16
36855383,2017-10-24T00:00:00Z,and,F,USA,18
15917829,2017-11-27T00:00:00Z,and,F,USA,36
12235632,2017-05-13T00:00:00Z,and,M,BRA,17
19663729,2017-07-09T00:00:00Z,iOS,M,DEU,19
22599212,2015-06-23T00:00:00Z,iOS,M,DEU,42
67728035,2018-02-28T00:00:00Z,iOS,M,CAN,29
17703699,2017-05-03T00:00:00Z,and,M,USA,49
89061574,2018-02-18T00:00:00Z,iOS,F,FRA,22
46616311,2017-05-02T00:00:00Z,and,F,USA,17
37708111,2017-07-27T00:00:00Z,and,M,USA,16
58745144,2017-08-22T00:00:00Z,and,M,USA,31
89312230,2016-09-20T00:00:00Z,and,M,DEU,21
41276426,2017-12-15T00:00:00Z,and,F,USA,22
64982850,2018-01-13T00:00:00Z,iOS,F,USA,29
91510205,2018-02-07T00:00:00Z,and,F,USA,23
31291327,2018-01-30T00:00:00Z,and,F,USA,15
23495692,2015-04-02T00:00:00Z,and,M,DEU,19
37983963,2017-10-05T00:00:00Z,iOS,M,BRA,17
61104056,2018-03-18T00:00:00Z,and,M,USA,18
80423456,2016-08-27T00:00:00Z,and,M,USA,18
21367178,2017-11-04T00:00:00Z,and,M,USA,18
15446544,2017-03-28T00:00:00Z,and,M,TUR,16
34348321,2017-03-29T00:00:00Z,iOS,M,BRA,32
27250031,2017-12-06T00:00:00Z,and,M,BRA,41
82911971,2018-01-05T00:00:00Z,iOS,M,BRA,20
28043369,2017-10-09T00:00:00Z,and,M,TUR,28
23240242,2017-02-16T00:00:00Z,iOS,F,USA,24
21255196,2017-04-19T00:00:00Z,and,M,USA,18
86951624,2018-01-06T00:00:00Z,iOS,M,FRA,16
82087794,2018-03-05T00:00:00Z,and,F,FRA,15
45539720,2017-03-13T00:00:00Z,iOS,M,USA,19
74082748,2016-12-17T00:00:00Z,and,M,USA,24
84056042,2016-11-29T00:00:00Z,and,F,DEU,16
75610381,2018-03-17T00:00:00Z,iOS,M,DEU,44
46473919,2016-05-13T00:00:00Z,and,M,USA,16
88405114,2017-01-24T00:00:00Z,iOS,M,TUR,15
86575740,2016-10-11T00:00:00Z,and,M,USA,29
66903115,2017-07-23T00:00:00Z,iOS,F,USA,15
56367460,2017-09-20T00:00:00Z,iOS,F,USA,45
70285355,2018-02-03T00:00:00Z,and,F,USA,27
82028666,2017-11-17T00:00:00Z,and,F,TUR,21
71865028,2017-02-03T00:00:00Z,and,M,DEU,62
81301813,2017-12-26T00:00:00Z,and,M,USA,20
51284237,2015-07-05T00:00:00Z,and,M,USA,36
86850383,2016-12-16T00:00:00Z,and,M,USA,30
16558533,2017-03-26T00:00:00Z,and,F,TUR,18
49228019,2018-03-10T00:00:00Z,iOS,F,BRA,25
89674483,2017-04-08T00:00:00Z,and,F,DEU,22
88961531,2017-08-18T00:00:00Z,and,M,CAN,23
85455628,2018-01-24T00:00:00Z,iOS,M,USA,48
59293403,2017-12-20T00:00:00Z,and,F,USA,16
88322199,2016-07-04T00:00:00Z,and,F,USA,21
48305799,2017-08-19T00:00:00Z,and,F,USA,27
82906474,2017-07-11T00:00:00Z,iOS,M,BRA,18
24730305,2018-03-05T00:00:00Z,and,M,CAN,16
80640361,2018-01-30T00:00:00Z,and,M,USA,27
89804397,2015-05-24T00:00:00Z,and,F,DEU,26
84866161,2017-12-24T00:00:00Z,iOS,F,BRA,17
75572676,2018-03-15T00:00:00Z,and,F,USA,25
19621049,2015-04-07T00:00:00Z,and,F,BRA,35
98826375,2017-09-22T00:00:00Z,and,F,BRA,19
80808121,2015-10-18T00:00:00Z,iOS,F,DEU,23
18371498,2017-12-04T00:00:00Z,iOS,M,USA,22
29810365,2018-02-01T00:00:00Z,iOS,F,CAN,22
14643990,2017-07-02T00:00:00Z,and,F,CAN,17
76238791,2017-05-25T00:00:00Z,iOS,M,BRA,23
63554935,2018-03-05T00:00:00Z,and,M,BRA,16
12010899,2017-06-29T00:00:00Z,and,M,DEU,15
86820480,2018-01-15T00:00:00Z,and,M,DEU,23
68314120,2017-09-12T00:00:00Z,and,F,FRA,22
76719622,2018-01-23T00:00:00Z,and,M,TUR,17
43552451,2017-09-12T00:00:00Z,and,M,DEU,15
43440831,2018-01-15T00:00:00Z,and,F,BRA,22
99980066,2015-07-04T00:00:00Z,iOS,M,TUR,24
20275625,2017-09-21T00:00:00Z,and,F,USA,25
49191638,2017-09-02T00:00:00Z,and,F,CAN,22
46372689,2018-02-15T00:00:00Z,and,M,USA,35
14127324,2017-07-02T00:00:00Z,iOS,F,USA,18
57104126,2017-08-16T00:00:00Z,and,F,FRA,15
73900921,2017-04-22T00:00:00Z,iOS,M,TUR,18
78368042,2016-09-27T00:00:00Z,and,M,BRA,16
53419895,2018-03-16T00:00:00Z,and,M,TUR,17
57859524,2017-09-06T00:00:00Z,iOS,M,TUR,27
44562562,2016-11-27T00:00:00Z,and,F,USA,33
82748689,2016-05-23T00:00:00Z,and,M,CAN,28
42232649,2017-08-17T00:00:00Z,iOS,M,BRA,15
73337819,2016-11-13T00:00:00Z,iOS,M,BRA,24
71939216,2018-01-26T00:00:00Z,iOS,F,USA,18
55677620,2016-07-14T00:00:00Z,and,F,BRA,32
38271032,2017-04-09T00:00:00Z,and,M,USA,17
79279526,2017-06-08T00:00:00Z,iOS,F,USA,17
44650512,2017-02-24T00:00:00Z,iOS,M,USA,17
96667821,2018-03-14T00:00:00Z,and,M,DEU,20
58656099,2016-07-12T00:00:00Z,iOS,F,USA,29
44410606,2017-12-24T00:00:00Z,iOS,F,USA,26
94090865,2016-02-12T00:00:00Z,and,M,TUR,16
46934052,2016-06-28T00:00:00Z,iOS,M,USA,22
32534439,2017-09-25T00:00:00Z,iOS,F,BRA,18
57406482,2017-04-04T00:00:00Z,and,F,USA,17
68017623,2017-01-20T00:00:00Z,iOS,M,USA,27
90876457,2018-03-10T00:00:00Z,iOS,F,BRA,22
39721983,2017-07-13T00:00:00Z,iOS,M,USA,18
68905032,2017-11-29T00:00:00Z,and,M,TUR,23
99201953,2018-03-13T00:00:00Z,and,M,BRA,32
87378125,2016-10-13T00:00:00Z,and,F,USA,15
55834439,2018-01-27T00:00:00Z,and,F,BRA,21
88120639,2016-12-13T00:00:00Z,and,M,USA,26
49725720,2017-09-23T00:00:00Z,and,F,TUR,29
61015529,2017-05-13T00:00:00Z,iOS,M,TUR,22
11153046,2015-07-13T00:00:00Z,iOS,F,USA,23
26979863,2017-01-23T00:00:00Z,iOS,M,USA,19
12001630,2018-03-09T00:00:00Z,and,M,TUR,20
43380887,2017-12-22T00:00:00Z,and,F,CAN,27
99472712,2017-06-22T00:00:00Z,and,F,BRA,20
18473785,2017-10-15T00:00:00Z,iOS,M,BRA,18
99309406,2017-08-11T00:00:00Z,and,F,USA,39
94633014,2017-02-09T00:00:00Z,iOS,F,TUR,31
81870014,2015-04-26T00:00:00Z,and,M,BRA,18
86042841,2016-03-11T00:00:00Z,iOS,M,USA,17
65212296,2017-03-31T00:00:00Z,and,F,TUR,32
55470182,2016-12-18T00:00:00Z,and,F,USA,23
75763997,2016-06-12T00:00:00Z,and,F,BRA,16
57580319,2016-07-04T00:00:00Z,iOS,F,USA,22
61696341,2017-09-21T00:00:00Z,iOS,M,USA,19
27871636,2015-09-13T00:00:00Z,and,F,USA,46
57311167,2018-02-06T00:00:00Z,and,F,USA,15
58068240,2016-03-05T00:00:00Z,and,F,USA,22
92125164,2018-02-13T00:00:00Z,iOS,F,USA,19
72992651,2018-01-06T00:00:00Z,iOS,F,DEU,18
69489891,2016-02-03T00:00:00Z,and,F,BRA,19
44074776,2018-03-07T00:00:00Z,iOS,F,BRA,15
73639526,2017-07-07T00:00:00Z,iOS,F,USA,31
55333636,2017-12-11T00:00:00Z,and,F,USA,15
18225818,2017-11-16T00:00:00Z,and,F,FRA,17
67144708,2017-10-24T00:00:00Z,and,F,USA,29
87801530,2017-06-03T00:00:00Z,iOS,F,BRA,41
19142545,2017-07-07T00:00:00Z,iOS,F,DEU,20
76557144,2018-01-08T00:00:00Z,and,F,USA,22
64075836,2017-07-10T00:00:00Z,and,M,FRA,20
78334743,2016-11-17T00:00:00Z,and,M,USA,26
25473017,2016-05-06T00:00:00Z,iOS,F,USA,16
37502151,2017-05-25T00:00:00Z,iOS,F,BRA,16
34956713,2017-10-04T00:00:00Z,iOS,M,TUR,19
44437453,2015-07-10T00:00:00Z,iOS,F,TUR,22
15034712,2017-12-07T00:00:00Z,iOS,M,TUR,16
57785029,2016-10-31T00:00:00Z,iOS,M,USA,27
58364699,2017-06-07T00:00:00Z,iOS,M,DEU,28
71937671,2016-03-28T00:00:00Z,iOS,F,DEU,15
17739937,2018-01-31T00:00:00Z,and,M,BRA,16
58418749,2017-11-19T00:00:00Z,iOS,F,USA,21
91553462,2018-01-12T00:00:00Z,and,M,TUR,16
83693497,2017-02-17T00:00:00Z,iOS,M,USA,18
26206386,2016-05-07T00:00:00Z,and,F,FRA,28
12295769,2017-01-06T00:00:00Z,and,F,DEU,30
46478586,2017-05-05T00:00:00Z,and,M,TUR,30
67716800,2017-12-18T00:00:00Z,iOS,M,BRA,19
54810234,2017-03-15T00:00:00Z,and,F,BRA,16
65031962,2017-07-24T00:00:00Z,and,M,USA,23
21964824,2018-03-04T00:00:00Z,iOS,F,TUR,15
93004711,2017-04-22T00:00:00Z,and,M,DEU,24
14167613,2018-02-27T00:00:00Z,iOS,M,CAN,37
30910649,2017-12-01T00:00:00Z,and,F,TUR,15
32283870,2016-08-22T00:00:00Z,iOS,F,TUR,25
18831596,2018-01-15T00:00:00Z,iOS,F,BRA,33
56742706,2016-09-01T00:00:00Z,and,F,USA,17
92427121,2017-08-28T00:00:00Z,and,M,BRA,25
16832651,2018-02-15T00:00:00Z,iOS,M,USA,19
57330148,2015-07-28T00:00:00Z,iOS,M,BRA,30
58700485,2017-04-09T00:00:00Z,and,M,FRA,16
24069510,2017-12-27T00:00:00Z,and,F,TUR,21
58614173,2017-11-19T00:00:00Z,and,M,DEU,30
50585772,2015-08-24T00:00:00Z,and,F,USA,38
20335164,2016-07-16T00:00:00Z,iOS,F,BRA,19
41047760,2015-09-04T00:00:00Z,iOS,F,CAN,19
63182097,2017-04-03T00:00:00Z,iOS,F,BRA,17
87525475,2017-06-16T00:00:00Z,iOS,M,DEU,17
67217881,2015-11-21T00:00:00Z,iOS,M,USA,24
75557946,2017-06-21T00:00:00Z,and,F,USA,15
95129508,2015-12-20T00:00:00Z,and,F,BRA,28
92983490,2018-03-04T00:00:00Z,and,F,DEU,20
58904519,2018-02-21T00:00:00Z,iOS,F,USA,22
63245432,2016-12-04T00:00:00Z,and,F,FRA,20
55229822,2018-01-16T00:00:00Z,and,F,BRA,27
93535360,2017-01-25T00:00:00Z,and,M,USA,25
46497663,2017-08-22T00:00:00Z,iOS,F,BRA,17
99916096,2017-09-27T00:00:00Z,and,F,USA,18
99888805,2016-12-02T00:00:00Z,iOS,M,USA,15
56796198,2017-12-29T00:00:00Z,and,F,TUR,54
95674089,2016-05-21T00:00:00Z,and,M,BRA,34
96840524,2017-03-07T00:00:00Z,and,M,DEU,36
96282239,2016-06-28T00:00:00Z,iOS,M,USA,34
68791188,2017-10-14T00:00:00Z,and,M,USA,27
46187879,2018-02-02T00:00:00Z,iOS,M,USA,21
13537603,2016-06-18T00:00:00Z,iOS,F,BRA,26
61838163,2017-05-10T00:00:00Z,and,M,CAN,31
87242107,2017-11-24T00:00:00Z,iOS,M,DEU,17
30962180,2018-02-01T00:00:00Z,and,F,TUR,25
21633394,2017-04-15T00:00:00Z,iOS,F,DEU,26
69804359,2017-12-30T00:00:00Z,iOS,F,USA,25
36555876,2017-04-20T00:00:00Z,and,F,BRA,31
14464531,2017-09-16T00:00:00Z,iOS,F,BRA,16
25435628,2017-01-24T00:00:00Z,and,F,BRA,30
94460667,2018-01-13T00:00:00Z,and,F,USA,22
70314912,2018-02-20T00:00:00Z,iOS,F,BRA,22
43300676,2016-01-13T00:00:00Z,and,F,TUR,18
28973284,2017-07-19T00:00:00Z,iOS,F,FRA,15
85226112,2018-01-26T00:00:00Z,and,M,USA,16
87948327,2016-06-11T00:00:00Z,iOS,F,TUR,15
82032467,2018-02-23T00:00:00Z,and,F,FRA,17
70815497,2018-02-20T00:00:00Z,iOS,M,BRA,18
85953695,2017-05-17T00:00:00Z,and,F,FRA,24
16868908,2017-08-10T00:00:00Z,and,M,FRA,27
89180970,2016-01-30T00:00:00Z,iOS,M,USA,33
29160614,2017-10-06T00:00:00Z,and,F,DEU,66
61685054,2018-01-15T00:00:00Z,and,M,BRA,20
81384864,2018-03-12T00:00:00Z,and,M,USA,15
19133823,2017-08-05T00:00:00Z,iOS,M,USA,27
78429993,2017-09-16T00:00:00Z,and,M,CAN,26
27462048,2015-01-27T00:00:00Z,iOS,M,USA,52
40474662,2017-12-24T00:00:00Z,and,M,BRA,17
51692532,2018-02-18T00:00:00Z,iOS,F,DEU,16
36282124,2017-03-02T00:00:00Z,and,F,USA,16
19238249,2017-08-24T00:00:00Z,iOS,F,USA,19
93321090,2017-12-01T00:00:00Z,iOS,M,USA,22
16376777,2018-01-29T00:00:00Z,and,F,USA,19
41196200,2017-01-02T00:00:00Z,and,M,BRA,30
54143576,2016-02-28T00:00:00Z,and,M,BRA,16
55999122,2017-11-07T00:00:00Z,iOS,F,USA,28
51002072,2018-03-12T00:00:00Z,iOS,F,USA,20
63984210,2018-02-21T00:00:00Z,iOS,F,TUR,17
34478937,2018-03-17T00:00:00Z,iOS,F,DEU,18
94231640,2016-11-01T00:00:00Z,and,F,FRA,23
75633715,2016-07-28T00:00:00Z,and,F,DEU,15
92733510,2015-08-24T00:00:00Z,and,M,BRA,15
61437147,2017-12-12T00:00:00Z,and,M,USA,19
13038192,2017-08-24T00:00:00Z,iOS,M,BRA,16
15753947,2017-03-25T00:00:00Z,and,M,BRA,44
75808644,2018-01-08T00:00:00Z,and,M,BRA,19
44250519,2015-08-26T00:00:00Z,iOS,F,BRA,19
29647008,2018-03-18T00:00:00Z,and,F,USA,17
79280021,2018-02-25T00:00:00Z,and,M,TUR,21
18300935,2018-02-01T00:00:00Z,iOS,F,FRA,17
22995892,2016-06-15T00:00:00Z,and,F,TUR,23
18449695,2018-03-17T00:00:00Z,and,F,BRA,26
61563519,2016-12-16T00:00:00Z,and,M,TUR,15
81403954,2018-02-26T00:00:00Z,and,F,USA,19
77557879,2017-01-18T00:00:00Z,and,F,USA,34
70732915,2018-01-23T00:00:00Z,iOS,F,BRA,35
87007456,2018-01-30T00:00:00Z,iOS,F,CAN,26
83628076,2017-07-29T00:00:00Z,and,M,DEU,38
84424030,2018-03-09T00:00:00Z,and,F,USA,34
25194914,2017-07-19T00:00:00Z,and,M,BRA,19
79721979,2018-02-15T00:00:00Z,and,F,TUR,16
85470265,2017-03-28T00:00:00Z,and,M,DEU,21
37679198,2018-03-12T00:00:00Z,and,M,BRA,25
45105533,2017-09-09T00:00:00Z,and,M,USA,18
83807431,2018-01-04T00:00:00Z,iOS,M,USA,55
70564535,2017-12-06T00:00:00Z,and,F,DEU,21
11376870,2017-07-20T00:00:00Z,iOS,M,DEU,17
19569768,2017-11-24T00:00:00Z,and,F,USA,21
62950240,2017-05-15T00:00:00Z,and,M,USA,16
26897417,2017-04-19T00:00:00Z,and,F,BRA,24
81386640,2018-03-14T00:00:00Z,iOS,M,USA,31
89672821,2018-01-30T00:00:00Z,and,F,USA,16
95718406,2016-11-06T00:00:00Z,and,F,USA,19
90922815,2016-08-26T00:00:00Z,and,F,CAN,18
57905765,2018-01-07T00:00:00Z,iOS,M,BRA,15
14948948,2016-08-18T00:00:00Z,and,M,USA,25
43777639,2018-03-03T00:00:00Z,iOS,F,TUR,19
28714986,2017-04-15T00:00:00Z,and,F,BRA,24
91697354,2017-09-27T00:00:00Z,and,F,USA,24
72175678,2017-10-24T00:00:00Z,iOS,M,USA,16
81686490,2017-04-04T00:00:00Z,iOS,F,TUR,24
40439397,2017-11-30T00:00:00Z,iOS,F,USA,26
24466682,2016-12-19T00:00:00Z,and,M,BRA,16
53168498,2018-02-24T00:00:00Z,iOS,F,USA,21
57427158,2017-12-15T00:00:00Z,and,F,USA,21
31446151,2017-01-04T00:00:00Z,iOS,M,USA,16
93381363,2018-03-04T00:00:00Z,and,M,USA,20
17438616,2017-06-16T00:00:00Z,and,M,USA,23
42220050,2017-08-11T00:00:00Z,iOS,F,BRA,20
40116023,2017-11-26T00:00:00Z,and,F,BRA,18
46514397,2017-05-06T00:00:00Z,iOS,F,USA,40
52460347,2017-10-04T00:00:00Z,iOS,F,USA,18
49042525,2017-10-16T00:00:00Z,and,F,TUR,39
37044247,2017-06-21T00:00:00Z,and,M,USA,15
25999385,2017-08-18T00:00:00Z,and,F,TUR,31
47130379,2018-03-11T00:00:00Z,iOS,F,USA,46
39086115,2017-03-03T00:00:00Z,iOS,M,TUR,19
36261477,2018-03-09T00:00:00Z,and,M,USA,23
68916176,2017-02-23T00:00:00Z,and,F,BRA,20
36029568,2017-09-24T00:00:00Z,and,F,CAN,37
15675030,2018-01-28T00:00:00Z,and,M,DEU,33
88549304,2017-03-26T00:00:00Z,iOS,F,BRA,17
80672327,2018-02-15T00:00:00Z,and,F,FRA,22
17224333,2017-08-04T00:00:00Z,iOS,F,USA,18
49275721,2018-03-12T00:00:00Z,iOS,F,USA,29
25473152,2017-09-28T00:00:00Z,and,M,TUR,37
63755202,2016-11-22T00:00:00Z,iOS,M,USA,33
93979502,2016-11-21T00:00:00Z,iOS,M,BRA,23
92074827,2018-02-20T00:00:00Z,and,M,TUR,17
21201773,2018-03-11T00:00:00Z,and,F,USA,32
74871490,2017-07-30T00:00:00Z,and,F,DEU,20
54419979,2018-03-11T00:00:00Z,iOS,F,DEU,20
79773920,2017-10-07T00:00:00Z,iOS,F,USA,24
15988689,2016-02-12T00:00:00Z,and,F,BRA,19
88849531,2017-05-22T00:00:00Z,and,F,DEU,35
70745546,2016-08-06T00:00:00Z,iOS,F,DEU,23
20031988,2016-12-12T00:00:00Z,and,F,BRA,27
94637697,2016-12-19T00:00:00Z,iOS,M,BRA,29
38348062,2018-02-05T00:00:00Z,iOS,F,USA,28
85488149,2016-07-31T00:00:00Z,and,F,USA,16
21758353,2017-10-13T00:00:00Z,and,M,TUR,20
25277307,2017-11-17T00:00:00Z,and,F,USA,26
25841981,2016-11-11T00:00:00Z,and,M,USA,15
21475021,2017-06-23T00:00:00Z,and,F,DEU,28
20913404,2017-11-20T00:00:00Z,and,M,TUR,25
89676941,2016-06-08T00:00:00Z,and,F,USA,21
38509633,2017-07-19T00:00:00Z,and,F,BRA,29
95178192,2018-03-10T00:00:00Z,and,M,BRA,24
29729462,2017-07-10T00:00:00Z,and,M,BRA,16
42121001,2016-08-13T00:00:00Z,and,F,USA,24
82621264,2017-03-11T00:00:00Z,and,M,TUR,22
98928302,2015-06-22T00:00:00Z,and,F,TUR,18
38845453,2017-09-14T00:00:00Z,iOS,F,DEU,18
31251547,2016-12-21T00:00:00Z,iOS,M,USA,53
36096051,2017-10-15T00:00:00Z,and,M,CAN,21
88102362,2018-02-14T00:00:00Z,and,F,USA,21
11756777,2017-05-12T00:00:00Z,iOS,M,USA,18
48151007,2017-04-30T00:00:00Z,and,F,USA,15
59545136,2017-10-22T00:00:00Z,and,M,BRA,16
58011203,2016-06-08T00:00:00Z,iOS,M,TUR,33
75448559,2017-10-15T00:00:00Z,and,M,CAN,21
43346800,2017-10-25T00:00:00Z,and,F,USA,17
90689254,2018-03-04T00:00:00Z,and,F,USA,23
50137793,2017-02-19T00:00:00Z,iOS,F,USA,15
63799735,2017-05-14T00:00:00Z,and,F,USA,31
62460648,2017-08-03T00:00:00Z,iOS,M,FRA,15
79382095,2018-01-27T00:00:00Z,and,F,USA,17
90922648,2017-12-04T00:00:00Z,and,M,USA,39
11274144,2017-04-01T00:00:00Z,and,M,CAN,19
68346196,2017-01-12T00:00:00Z,and,F,USA,27
19265199,2018-02-15T00:00:00Z,and,F,USA,30
59225987,2018-02-16T00:00:00Z,and,F,FRA,18
57255631,2018-02-05T00:00:00Z,and,M,CAN,16
92892805,2017-07-27T00:00:00Z,and,M,BRA,15
33561696,2017-04-04T00:00:00Z,iOS,M,BRA,38
93934496,2015-11-22T00:00:00Z,iOS,F,FRA,42
46565142,2016-11-26T00:00:00Z,iOS,F,USA,17
25628531,2017-01-25T00:00:00Z,iOS,F,USA,18
99265353,2016-06-04T00:00:00Z,iOS,F,BRA,26
59072594,2017-10-26T00:00:00Z,iOS,F,USA,25
40718027,2018-01-11T00:00:00Z,iOS,F,BRA,22
84511047,2017-11-05T00:00:00Z,iOS,F,BRA,17
98015368,2016-11-05T00:00:00Z,iOS,M,BRA,24
70901385,2017-11-15T00:00:00Z,iOS,M,USA,29
30871934,2017-03-31T00:00:00Z,and,F,DEU,34
25107539,2015-10-12T00:00:00Z,iOS,M,USA,16
27207518,2015-12-14T00:00:00Z,and,F,BRA,23
45935274,2017-02-06T00:00:00Z,and,M,USA,51
73471600,2018-03-15T00:00:00Z,and,F,USA,25
44953303,2017-11-06T00:00:00Z,iOS,M,TUR,15
24373914,2017-01-27T00:00:00Z,and,M,USA,32
46075649,2017-09-08T00:00:00Z,and,F,TUR,16
71160014,2016-12-27T00:00:00Z,iOS,F,USA,25
35783429,2018-02-08T00:00:00Z,and,M,USA,17
56109907,2017-10-01T00:00:00Z,iOS,M,USA,20
74479870,2016-04-23T00:00:00Z,and,F,BRA,25
95399683,2016-06-11T00:00:00Z,and,M,TUR,26
84868195,2018-03-04T00:00:00Z,and,F,USA,27
23119210,2017-01-05T00:00:00Z,iOS,M,BRA,32
95406503,2016-02-25T00:00:00Z,iOS,M,BRA,29
34830224,2017-11-20T00:00:00Z,and,F,DEU,26
96912811,2016-07-03T00:00:00Z,iOS,F,TUR,26
21794944,2017-09-26T00:00:00Z,iOS,F,USA,22
83202499,2017-10-20T00:00:00Z,and,M,USA,19
41644485,2017-09-14T00:00:00Z,and,M,USA,21
22917732,2017-07-20T00:00:00Z,and,M,BRA,15
89104187,2018-01-26T00:00:00Z,iOS,M,USA,19
61277540,2018-03-07T00:00:00Z,and,M,DEU,17
89192357,2017-01-07T00:00:00Z,iOS,F,DEU,15
